folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d,longitude,latitude,feepaid_missing,feepaid_clean,business_group
25,4642276,25-134553,00,The Lemon Square Inc,The Lemon Square,Issued,2024-12-03T17:18:40-08:00,2025-12-31,Food Manufacturer Assembler and Processor,,B20,Unit,1020,MAINLAND ST,Vancouver,BC,CA,V6B 2T5,Downtown,4.0,510.0,2026-07-01T02:32:21-07:00,,,-123.119287202894,49.2760867503332,0,510.0,Food Manufacturer Assembler and Processor
25,4702264,25-179344,01,Donald Bruce Luxton (Donald Luxton),Donald Luxton & Associates,Issued,2025-03-14T08:40:11-07:00,2025-12-31,Consulting and Management Services,,602,Unit,134,ABBOTT ST,Vancouver,BC,CA,V6B 2K4,Downtown,7.0,297.0,2026-07-01T02:32:23-07:00,,,-123.106005896093,49.2840832173454,0,297.0,Consulting and Management Services
24,4513548,24-132572,10,Pelco Management Company Ltd,,Issued,2023-12-27T16:11:28-08:00,2024-12-31,Real Estate Services,,1100,Unit,510,BURRARD ST,Vancouver,BC,CA,V6C 3A8,Downtown,17.0,,2026-07-01T02:32:16-07:00,,,-123.11758014442,49.2860516234368,1,277.0,Real Estate Services
25,4617071,25-109350,00,Hai Di Lao Canada Restaurants Group Ltd,HaiDiLao Hot Pot,Issued,2024-12-28T15:25:55-08:00,2025-12-31,Restaurant,Class 1 with liquor service,,,3204,W BROADWAY,Vancouver,BC,CA,V6K 2H4,Kitsilano,20.0,2894.0,2026-07-01T02:32:19-07:00,,,-123.176218878076,49.2639484554584,0,2894.0,Restaurant
24,4525177,24-145025,10,Manh Cuong Nguyen & Thu Thao Nguyen,Sunrises - Asian Antiques & More,Issued,2023-12-05T22:39:25-08:00,2024-12-31,Retail Dealer,Antique Dealer,,,2303,E HASTINGS ST,Vancouver,BC,CA,V5L 1V6,Grandview-Woodland,2.0,,2026-07-01T02:32:17-07:00,,,-123.057626524508,49.2814256388435,1,277.0,Retail Dealer
25,4642747,25-135024,00,Hub Cycling,,Issued,2024-11-18T12:09:37-08:00,2025-12-31,Association or Society,,200,Unit,312,MAIN ST,Vancouver,BC,CA,V6A 2T2,Strathcona,25.0,2.0,2026-07-01T02:32:21-07:00,,,-123.099186335777,49.2818567146548,0,2.0,Association or Society
26,4831981,26-109399,00,Prime Time Chicken Ltd,,Issued,2026-01-21T14:37:25-08:00,2026-12-31,Restaurant,Class 1 no liquor service,,,416,MAIN ST,Vancouver,BC,CA,V6A 2T4,Strathcona,4.0,1151.0,2026-07-22T00:08:55-07:00,,,-123.099225713231,49.2809238719075,0,1151.0,Restaurant
26,4836470,26-113887,00,Dr Emily Margaret Piper & Dr Damon Elgie,Dunbar Psychological Services - Dr D Elgie and Dr E M Piper,Issued,2026-01-13T11:21:11-08:00,2026-12-31,Health Care Professionals and Services,,216,Unit,3540,W 41ST AV,Vancouver,BC,CA,V6N 3E6,Dunbar-Southlands,2.0,277.0,2026-07-22T00:08:55-07:00,,,-123.183598245488,49.2344572836182,0,277.0,Health Care Professionals and Services
26,4869296,26-146712,00,Douglas Chiu Law Corporation,Hammerco Lawyers LLP,Issued,2025-11-05T10:00:55-08:00,2026-12-31,Legal Services,,400,Unit,2233,COLUMBIA ST,Vancouver,BC,CA,V5Y 1K8,Mount Pleasant,1.0,277.0,2026-07-22T00:08:57-07:00,,,-123.109749623692,49.2654001784778,0,277.0,Legal Services
25,4623611,25-115890,00,Eustace Swain Physiotherapist Corp,Neuro-Ability Rehabilitation Services,Issued,2024-11-21T13:08:51-08:00,2025-12-31,Health Care Professionals and Services,,100,Unit,1156,Kingsway,Vancouver,BC,CA,V5V 3C8,Kensington-Cedar Cottage,12.0,265.0,2026-07-01T02:32:19-07:00,,,-123.080921922212,49.2521978720042,0,265.0,Health Care Professionals and Services
25,4655260,25-147537,00,VITI LRS Management Ltd,Viti Broadway,Issued,2024-12-04T15:23:15-08:00,2025-12-31,Liquor Retail Store,,,,2410,NANAIMO ST,Vancouver,BC,CA,V5N 5E4,Hastings-Sunrise,4.0,745.0,2026-07-01T02:32:22-07:00,,,-123.056162054502,49.262689412787,0,745.0,Other
26,4869708,26-147124,00,Nerissa Yan Law Corporation,Yan Muirhead LLP,Issued,2025-11-14T11:36:34-08:00,2026-12-31,Legal Services,,1100,Unit,736,GRANVILLE ST,Vancouver,BC,CA,V6Z 1G3,Downtown,10.0,277.0,2026-07-22T00:08:57-07:00,,,-123.118522373666,49.2818433477786,0,277.0,Legal Services
26,4863298,26-140714,00,(Motoaki Egawa),Tenrikyo,Issued,2025-11-15T18:56:14-08:00,2026-12-31,Business Support Services,,,,3690,Nanaimo St,Vancouver,BC,CA,V5N 5H1,Renfrew-Collingwood,7.0,277.0,2026-07-22T00:08:57-07:00,,,-123.056182495776,49.2516500709318,0,277.0,Business Support Services
26,4862639,26-140055,00,Waissbluth Architecture Office Inc,,Issued,2026-01-13T14:17:51-08:00,2026-12-31,Architectural and Engineering Services,,,,850,W 15th Av,Vancouver,BC,CA,V5Z 1R7,Fairview,1.0,277.0,2026-07-22T00:08:57-07:00,,,-123.123022594373,49.2575745045401,0,277.0,Architectural and Engineering Services
26,4840097,26-117514,00,HEALING HANDS ACUPUNCTURE LTD.,,Issued,2025-11-30T12:46:14-08:00,2026-12-31,Health Care Professionals and Services,,,,1038,HAMILTON ST,Vancouver,BC,CA,V6B 2R9,Downtown,1.0,277.0,2026-07-22T00:08:56-07:00,,,-123.119941573981,49.2763545702688,0,277.0,Health Care Professionals and Services
25,4627852,25-120131,00,Prinkle Chicken Inc,,Issued,2024-11-18T15:38:45-08:00,2025-12-31,Limited Service Food Establishment,Without Liquor,,,6441,VICTORIA DRIVE,Vancouver,BC,CA,V5P 3X5,Victoria-Fraserview,8.0,692.0,2026-07-01T02:32:20-07:00,,,-123.066207682098,49.2258240852473,0,692.0,Limited Service Food Establishment
25,4761753,25-237601,00,Pak Lyn Holdings Ltd,,Issued,2025-06-11T11:40:52-07:00,2025-12-31,Long-term Rental,,,,1405,W 11th Av,Vancouver,BC,CA,V6H 1K9,Fairview,0.0,6106.0,2026-07-01T02:32:23-07:00,,,-123.13642169732,49.2619285794619,0,6106.0,Long-term Rental
25,4629005,25-121284,00,Damon Developments Ltd,,Issued,2024-12-03T11:07:38-08:00,2025-12-31,Long-term Rental,,,,1860,W 2ND AV,Vancouver,BC,CA,,Kitsilano,0.0,4512.0,2026-07-01T02:32:20-07:00,,,-123.146673150975,49.2695482537243,0,4512.0,Long-term Rental
24,4517221,24-136604,10,TLSE Engineering Inc,,Issued,2023-11-22T13:51:48-08:00,2024-12-31,Consulting and Management Services,,,,121,W 6TH AV,Vancouver,BC,CA,V5Y 1K3,Mount Pleasant,20.0,,2026-07-01T02:32:16-07:00,,,-123.107525096137,49.2658856003131,1,277.0,Consulting and Management Services
24,4520078,24-140050,10,The Charles F White Corporation,The CFW Group,Issued,2024-04-04T13:45:01-07:00,2024-12-31,Business Support Services,,333,Unit,610,GRANVILLE ST,Vancouver,BC,CA,V6C 3T3,Downtown,9.0,,2026-07-01T02:32:17-07:00,,,-123.116533481387,49.2832147694177,1,277.0,Business Support Services
26,4896762,26-110078,01,1205276 BC Ltd,El Guapo,Issued,2025-12-08T08:57:22-08:00,2026-12-31,Restaurant,Class 1 with liquor service,,,1009,HAMILTON ST,Vancouver,BC,CA,V6B 5T4,Downtown,40.0,251.0,2026-07-22T00:08:58-07:00,,,-123.120307745892,49.2768250875989,0,251.0,Restaurant
26,4854801,26-132217,00,(Jong Lum),,Issued,2025-12-07T17:19:41-08:00,2026-12-31,Long-term Rental,,,,1729,Cypress St,Vancouver,BC,CA,V6J3L5,Kitsilano,0.0,98.0,2026-07-22T00:08:57-07:00,,,-123.148113277933,49.2704385423979,0,98.0,Long-term Rental
